sac train | train | env_step=1164/2024 | update=345 critic=0.016 actor=-2.888 alpha_loss=-19.901 alpha=0.180 q=2.043 entropy=4.620 replay=1164 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1179/2024 | update=350 critic=0.012 actor=-3.078 alpha_loss=-20.214 alpha=0.180 q=2.289 entropy=4.792 replay=1179 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1194/2024 | update=355 critic=0.019 actor=-3.043 alpha_loss=-20.154 alpha=0.180 q=2.094 entropy=4.747 replay=1194 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1209/2024 | update=360 critic=0.004 actor=-3.011 alpha_loss=-20.405 alpha=0.180 q=2.246 entropy=4.883 replay=1209 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1224/2024 | update=365 critic=0.003 actor=-3.158 alpha_loss=-20.064 alpha=0.179 q=2.254 entropy=4.674 replay=1224 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1239/2024 | update=370 critic=0.007 actor=-3.039 alpha_loss=-20.304 alpha=0.179 q=2.198 entropy=4.803 replay=1239 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1254/2024 | update=375 critic=0.007 actor=-3.135 alpha_loss=-20.048 alpha=0.179 q=2.321 entropy=4.644 replay=1254 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1269/2024 | update=380 critic=0.005 actor=-3.135 alpha_loss=-20.212 alpha=0.178 q=2.312 entropy=4.729 replay=1269 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1284/2024 | update=385 critic=0.008 actor=-3.165 alpha_loss=-20.001 alpha=0.178 q=2.320 entropy=4.597 replay=1284 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=1290/2024 | replay=1290
